contig	position	-3_event_level_mean	-3_event_stdv	-3_event_length	-3_standardized_level	-3_event_level_median	-3_event_stdv_median	-3_event_length_median	-3_diff_stdv	-2_event_level_mean	-2_event_stdv	-2_event_length	-2_standardized_level	-2_event_level_median	-2_event_stdv_median	-2_event_length_median	-2_diff_stdv	-1_event_level_mean	-1_event_stdv	-1_event_length	-1_standardized_level	-1_event_level_median	-1_event_stdv_median	-1_event_length_median	-1_diff_stdv	0_event_level_mean	0_event_stdv	0_event_length	0_standardized_level	0_event_level_median	0_event_stdv_median	0_event_length_median	0_diff_stdv	+1_event_level_mean	+1_event_stdv	+1_event_length	+1_standardized_level	+1_event_level_median	+1_event_stdv_median	+1_event_length_median	+1_diff_stdv	+2_event_level_mean	+2_event_stdv	+2_event_length	+2_standardized_level	+2_event_level_median	+2_event_stdv_median	+2_event_length_median	+2_diff_stdv	+3_event_level_mean	+3_event_stdv	+3_event_length	+3_standardized_level	+3_event_level_median	+3_event_stdv_median	+3_event_length_median	+3_diff_stdv	label
ENST00000416718.2	17	78.204	1.5350000000000001	0.005509999999999999	-0.31599999999999995	78.86	1.246	0.00531	-0.27934272300469476	73.43	2.509	0.00365	-0.94	73.43	2.509	0.00365	-0.35167958656330756	79.58500000000001	1.81825	0.00709625	-0.04999999999999999	80.19	1.75	0.00448	-0.4190894568690096	98.06	8.975	0.006805	-1.04	98.06	8.975	0.006805	1.727963525835866	65.92	2.158	0.00631	-0.82	65.92	2.158	0.00631	-0.08170212765957453	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	0
ENST00000416718.2	18	73.43	2.509	0.00365	-0.94	73.43	2.509	0.00365	-0.35167958656330756	79.58500000000001	1.81825	0.00709625	-0.04999999999999999	80.19	1.75	0.00448	-0.4190894568690096	98.06	8.975	0.006805	-1.04	98.06	8.975	0.006805	1.727963525835866	65.92	2.158	0.00631	-0.82	65.92	2.158	0.00631	-0.08170212765957453	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	0
ENST00000416718.2	19	79.58500000000001	1.81825	0.00709625	-0.04999999999999999	80.19	1.75	0.00448	-0.4190894568690096	98.06	8.975	0.006805	-1.04	98.06	8.975	0.006805	1.727963525835866	65.92	2.158	0.00631	-0.82	65.92	2.158	0.00631	-0.08170212765957453	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	0
ENST00000416718.2	20	98.06	8.975	0.006805	-1.04	98.06	8.975	0.006805	1.727963525835866	65.92	2.158	0.00631	-0.82	65.92	2.158	0.00631	-0.08170212765957453	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	0
ENST00000416718.2	21	65.92	2.158	0.00631	-0.82	65.92	2.158	0.00631	-0.08170212765957453	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	0
ENST00000416718.2	22	82.3175	1.59125	0.0077174999999999995	-0.085	82.51	1.651	0.0083	-0.39496197718631176	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	85.745	2.271	0.004314999999999999	-0.265	85.745	2.271	0.004314999999999999	-0.13650190114068442	0
ENST00000416718.2	23	93.0611111111111	2.173684210526315	0.005201111111111111	0.44055555555555553	93.45	2.308	0.00398	-0.17350410246147707	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	85.745	2.271	0.004314999999999999	-0.265	85.745	2.271	0.004314999999999999	-0.13650190114068442	84.0975	2.41	0.006724999999999999	-1.025	85.65	1.963	0.007469999999999999	-0.6162420382165605	0
ENST00000416718.2	24	90.7325	3.2005	0.0067225	-0.2675	90.53	3.5015	0.0071400000000000005	-0.43850877192982457	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	85.745	2.271	0.004314999999999999	-0.265	85.745	2.271	0.004314999999999999	-0.13650190114068442	84.0975	2.41	0.006724999999999999	-1.025	85.65	1.963	0.007469999999999999	-0.6162420382165605	93.81000000000002	2.404	0.008409999999999999	0.003333333333333355	94.17	2.346	0.00614	-0.364021164021164	0
ENST00000416718.2	25	82.63499999999999	1.4969999999999999	0.007965	1.06	82.63499999999999	1.4969999999999999	0.007965	-0.3491304347826087	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	85.745	2.271	0.004314999999999999	-0.265	85.745	2.271	0.004314999999999999	-0.13650190114068442	84.0975	2.41	0.006724999999999999	-1.025	85.65	1.963	0.007469999999999999	-0.6162420382165605	93.81000000000002	2.404	0.008409999999999999	0.003333333333333355	94.17	2.346	0.00614	-0.364021164021164	126.91333333333334	3.1663333333333337	0.0056433333333333335	1.4900000000000002	126.86	2.882	0.00564	-0.21430934656741105	0
ENST00000416718.2	26	89.59714285714286	2.588142857142857	0.006022857142857142	0.8300000000000001	89.06	2.257	0.00531	0.21509054325955737	76.24666666666667	2.533	0.004203333333333333	1.24	85.82	3.012	0.00398	-0.5966560509554141	85.745	2.271	0.004314999999999999	-0.265	85.745	2.271	0.004314999999999999	-0.13650190114068442	84.0975	2.41	0.006724999999999999	-1.025	85.65	1.963	0.007469999999999999	-0.6162420382165605	93.81000000000002	2.404	0.008409999999999999	0.003333333333333355	94.17	2.346	0.00614	-0.364021164021164	126.91333333333334	3.1663333333333337	0.0056433333333333335	1.4900000000000002	126.86	2.882	0.00564	-0.21430934656741105	122.1525	8.753	0.00307	-0.11250000000000002	124.015	9.9885	0.00249	0.02254672897196257	0
